ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,-hotdogturtle--,AdamantRock,Advokaiser,Akkrillic,Arti,azuarc,banshiryuu,barreldragon88,Bluenugget64,cakophon,ChichiriMuyo,Citrus_,Collen,DireKrow,DoctorJimmy133,dowolf,DragonImps,FBike1,FFDragon,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,malyg,McMoogle,missadelyn,MoonRunes,Mr Lasastryke,MrSmartGuy,Mythiot,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Pyromide,quantumB,Raetsel_Lapin,Raycon,rwlh,Sceptilesolar,sergiocornaga,shane15,Shonen_Bat,slykirby,Snake5555555555,Snowva,SuperNiceDog,tazzyboyishere,Team Rocket Elite,tennisboy213,tgs2,th3l3fty,TheArkOfTurus,Toxtricity,trdl23,trizob,TsunamiXXVIII,UF8,WavedFan,xarlable,Xiahou Shake,xp1337,xx521xx,ZelRaat,Zigzagoon,Zyxyz0
24,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,25,27,52,2,Shovel Knight - Strike the Earth,,,,,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,,,Shovel Knight - Strike the Earth,,,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,,,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,,Shovel Knight - Strike the Earth,Shovel Knight - Strike the Earth,,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,,Shovel Knight - Strike the Earth,,,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,,,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,,,,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,,,Shovel Knight - Strike the Earth,,,Shovel Knight - Strike the Earth,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,Shovel Knight - Strike the Earth,,Baldr Heart - Innocence and Emptiness,Baldr Heart - Innocence and Emptiness,,Shovel Knight - Strike the Earth,,Shovel Knight - Strike the Earth,Baldr Heart - Innocence and Emptiness,Shovel Knight - Strike the Earth,Shovel Knight - Strike the Earth,
25,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,27,34,61,7,Super Smash Bros. - Final Destination,,Super Smash Bros. - Final Destination,,,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,,,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,,,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,,,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,,Pokemon Sword and Shield - Battle Tower,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Pokemon Sword and Shield - Battle Tower,,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,,Super Smash Bros. - Final Destination,,Pokemon Sword and Shield - Battle Tower,Super Smash Bros. - Final Destination,Super Smash Bros. - Final Destination,,
26,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,22,38,60,16,Alto's Odyssey - An Endless Desert,,Alto's Odyssey - An Endless Desert,,,Granblue Fantasy Versus - Wings of Terror Phase 2,Granblue Fantasy Versus - Wings of Terror Phase 2,Granblue Fantasy Versus - Wings of Terror Phase 2,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,,,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,,,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,,,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,,,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Granblue Fantasy Versus - Wings of Terror Phase 2,,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,,Alto's Odyssey - An Endless Desert,Alto's Odyssey - An Endless Desert,,Alto's Odyssey - An Endless Desert,,Alto's Odyssey - An Endless Desert,Granblue Fantasy Versus - Wings of Terror Phase 2,Alto's Odyssey - An Endless Desert,,
27,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,31,28,59,3,Umineko no Naku Koro ni 1 - goldenslaughterer,,Umineko no Naku Koro ni 1 - goldenslaughterer,,,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,jubeat Prop - Chloe,,,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,jubeat Prop - Chloe,,,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,jubeat Prop - Chloe,jubeat Prop - Chloe,,jubeat Prop - Chloe,jubeat Prop - Chloe,,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,jubeat Prop - Chloe,,,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,jubeat Prop - Chloe,,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,,,jubeat Prop - Chloe,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,,Umineko no Naku Koro ni 1 - goldenslaughterer,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,,jubeat Prop - Chloe,jubeat Prop - Chloe,,Umineko no Naku Koro ni 1 - goldenslaughterer,,Umineko no Naku Koro ni 1 - goldenslaughterer,jubeat Prop - Chloe,Umineko no Naku Koro ni 1 - goldenslaughterer,,
28,13 Sentinels: Aegis Rim - -[Deoxyribose]-,Guild Wars 2 - Fear Not This Night,38,15,53,23,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,,,Guild Wars 2 - Fear Not This Night,Guild Wars 2 - Fear Not This Night,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,Guild Wars 2 - Fear Not This Night,,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,Guild Wars 2 - Fear Not This Night,Guild Wars 2 - Fear Not This Night,Guild Wars 2 - Fear Not This Night,Guild Wars 2 - Fear Not This Night,,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,Guild Wars 2 - Fear Not This Night,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,Guild Wars 2 - Fear Not This Night,,Guild Wars 2 - Fear Not This Night,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,Guild Wars 2 - Fear Not This Night,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,Guild Wars 2 - Fear Not This Night,Guild Wars 2 - Fear Not This Night,,Guild Wars 2 - Fear Not This Night,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,Guild Wars 2 - Fear Not This Night,Guild Wars 2 - Fear Not This Night,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,13 Sentinels: Aegis Rim - -[Deoxyribose]-,,
29,Metal Gear Solid 3 - Snake Eater,No One Can Stop Mr. Domino - Shop 'til You Drop,34,19,53,15,Metal Gear Solid 3 - Snake Eater,,No One Can Stop Mr. Domino - Shop 'til You Drop,,,,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,Metal Gear Solid 3 - Snake Eater,No One Can Stop Mr. Domino - Shop 'til You Drop,,,No One Can Stop Mr. Domino - Shop 'til You Drop,Metal Gear Solid 3 - Snake Eater,No One Can Stop Mr. Domino - Shop 'til You Drop,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,,No One Can Stop Mr. Domino - Shop 'til You Drop,No One Can Stop Mr. Domino - Shop 'til You Drop,No One Can Stop Mr. Domino - Shop 'til You Drop,No One Can Stop Mr. Domino - Shop 'til You Drop,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,Metal Gear Solid 3 - Snake Eater,No One Can Stop Mr. Domino - Shop 'til You Drop,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,No One Can Stop Mr. Domino - Shop 'til You Drop,No One Can Stop Mr. Domino - Shop 'til You Drop,No One Can Stop Mr. Domino - Shop 'til You Drop,,,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,No One Can Stop Mr. Domino - Shop 'til You Drop,,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,Metal Gear Solid 3 - Snake Eater,,No One Can Stop Mr. Domino - Shop 'til You Drop,,No One Can Stop Mr. Domino - Shop 'til You Drop,,,No One Can Stop Mr. Domino - Shop 'til You Drop,,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,No One Can Stop Mr. Domino - Shop 'til You Drop,Metal Gear Solid 3 - Snake Eater,No One Can Stop Mr. Domino - Shop 'til You Drop,Metal Gear Solid 3 - Snake Eater,,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,Metal Gear Solid 3 - Snake Eater,,No One Can Stop Mr. Domino - Shop 'til You Drop,Metal Gear Solid 3 - Snake Eater,Metal Gear Solid 3 - Snake Eater,,
30,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,23,28,51,5,Terraria Calamity Mod - Servants of the Scourge,,Terraria Calamity Mod - Servants of the Scourge,,,,Ar Nosurge - Hidra Heteromycin,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,,,Terraria Calamity Mod - Servants of the Scourge,Ar Nosurge - Hidra Heteromycin,Ar Nosurge - Hidra Heteromycin,Ar Nosurge - Hidra Heteromycin,Ar Nosurge - Hidra Heteromycin,,,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,,,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,,,Terraria Calamity Mod - Servants of the Scourge,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,Terraria Calamity Mod - Servants of the Scourge,,Ar Nosurge - Hidra Heteromycin,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,,Ar Nosurge - Hidra Heteromycin,,Terraria Calamity Mod - Servants of the Scourge,,Terraria Calamity Mod - Servants of the Scourge,,,Ar Nosurge - Hidra Heteromycin,,,Ar Nosurge - Hidra Heteromycin,,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,,Ar Nosurge - Hidra Heteromycin,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,Ar Nosurge - Hidra Heteromycin,,Terraria Calamity Mod - Servants of the Scourge,Ar Nosurge - Hidra Heteromycin,,Terraria Calamity Mod - Servants of the Scourge,,Ar Nosurge - Hidra Heteromycin,Ar Nosurge - Hidra Heteromycin,Terraria Calamity Mod - Servants of the Scourge,,
31,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,33,24,57,9,Spark the Electric Jester - Megaraph Fleet,,Spark the Electric Jester - Megaraph Fleet,,,Transistor - In Circles,Transistor - In Circles,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,,Transistor - In Circles,Spark the Electric Jester - Megaraph Fleet,,,Transistor - In Circles,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,,,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,Transistor - In Circles,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,,,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,,,Transistor - In Circles,Transistor - In Circles,Transistor - In Circles,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,,Transistor - In Circles,,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,,,Transistor - In Circles,,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,,Transistor - In Circles,Transistor - In Circles,,Spark the Electric Jester - Megaraph Fleet,,Spark the Electric Jester - Megaraph Fleet,Spark the Electric Jester - Megaraph Fleet,Transistor - In Circles,Transistor - In Circles,
32,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,20,37,57,17,Project Cerberus - L L ~Infinite Beating ver~,,Prinny: Can I really be the hero? - Dance With Me,,,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,,Prinny: Can I really be the hero? - Dance With Me,Prinny: Can I really be the hero? - Dance With Me,,,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,Prinny: Can I really be the hero? - Dance With Me,,,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,Prinny: Can I really be the hero? - Dance With Me,,,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,,,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,,Project Cerberus - L L ~Infinite Beating ver~,,Prinny: Can I really be the hero? - Dance With Me,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,,,Project Cerberus - L L ~Infinite Beating ver~,,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,,Prinny: Can I really be the hero? - Dance With Me,Project Cerberus - L L ~Infinite Beating ver~,,Project Cerberus - L L ~Infinite Beating ver~,,Project Cerberus - L L ~Infinite Beating ver~,Project Cerberus - L L ~Infinite Beating ver~,Prinny: Can I really be the hero? - Dance With Me,Prinny: Can I really be the hero? - Dance With Me,
33,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,22,32,54,10,Mario Kart 8 - Big Blue,,Romancing SaGa: Minstrel Song - Battle With Saruin,,,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Romancing SaGa: Minstrel Song - Battle With Saruin,,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,,,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,,,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,,Mario Kart 8 - Big Blue,Romancing SaGa: Minstrel Song - Battle With Saruin,,Mario Kart 8 - Big Blue,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,,,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,,,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,,Romancing SaGa: Minstrel Song - Battle With Saruin,,Mario Kart 8 - Big Blue,,Mario Kart 8 - Big Blue,,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,,,Romancing SaGa: Minstrel Song - Battle With Saruin,,,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,Mario Kart 8 - Big Blue,,Mario Kart 8 - Big Blue,Romancing SaGa: Minstrel Song - Battle With Saruin,,Romancing SaGa: Minstrel Song - Battle With Saruin,,Mario Kart 8 - Big Blue,Romancing SaGa: Minstrel Song - Battle With Saruin,Mario Kart 8 - Big Blue,Romancing SaGa: Minstrel Song - Battle With Saruin,
